,ParamList_0,parHinban_0,parKurumaNo_0,parJunsei_0,KurumaInfo_0,CallHinban_0,parType_0,parHMCount_0,parHinmokuNos_0,parMakerNo_0,CallHinban_1,parMakerNos_0,parSyadaiNo_0
150,,,parKurumaNo=126188 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
151,,,parKurumaNo=116440 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
152,,,parKurumaNo=116440 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
153,,,parKurumaNo=116439 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
154,,,parKurumaNo=116439 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
155,,parHinban=48531-B2640 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
156,,parHinban=48531-97293 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
157,,parHinban=48531-97292 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
158,,parHinban=48520-B2690 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
159,,parHinban=48520-97B18 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
160,,parHinban=48520-97B17 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
161,,parHinban=48510-B2690 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
162,,parHinban=48510-97B18 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
163,,parHinban=48510-97B17 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
164,,,parKurumaNo=116916 ,,,,,parHMCount=9 ,parHinmokuNos=3760/3760/3761/3761/3762/3762/5660/8570/8310 ,,,parMakerNos=2240/4400/2240/4400/2240/4400/2840/1040/1040 ,parSyadaiNo=0
165,,parHinban=BC5621 ,,,,CallHinban=BC5621,,,,,,,
166,ParamList=16010/0014// ,,,,KurumaInfo=126787/6/ﾀﾞｲﾊﾂ/34/ﾀﾝﾄ 660 DOHC/16010/0005 0014 0024/DBA-L375S/0712/1010/KFVE/660,,,,,,,,
167,ParamList=12168/0001// ,,,,KurumaInfo=116916/6/ﾀﾞｲﾊﾂ/31/ｺﾍﾟﾝ 660 DOHC ﾀｰﾎﾞ/12168/0001 0006/ABA-L880K/0406/1209/JBDET/660,,,,,,,,
168,,parHinban=48203-3U025 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
169,,parHinban=48203-3U025 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
170,,parHinban=20651-ED10A ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
171,,parHinban=20651-ED10A ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
172,,parHinban=20695-ED10A ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
173,,parHinban=20695-8H310 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
174,,parHinban=20691-57E01 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
175,,,parKurumaNo=126188 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
176,,,parKurumaNo=126188 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
177,,,parKurumaNo=116440 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
178,,,parKurumaNo=116440 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
179,,,parKurumaNo=116439 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
180,,,parKurumaNo=116439 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
181,ParamList=18096/0004// ,,,,KurumaInfo=151044/8/ｽｽﾞｷ/43/ﾊｽﾗｰ 660 DOHC/18096/0004/DAA-MR41S/1807/1912/R06A/660,,,,,,,,
182,,parHinban=TBM-T002 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
183,,parHinban=TBM-T002 ,,,,,parType= ,,,,CallHinban=TBMT002,,
184,,parHinban=BC5621 ,,,,CallHinban=BC5621,,,,,,,
185,ParamList=//FAB/ ,,,,KurumaInfo=,,,,,,,,
186,ParamList=//FBA20/ ,,,,KurumaInfo=146257/3/三菱/16/ｷｬﾝﾀｰ 3000/0//TRG-FBA20/1604/1905/4P10T/3000,,,,,,,,
187,,parHinban=DC2663 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
188,,parHinban=DC2663 ,,,,,parType= ,,,,CallHinban=DC2663,,
189,,,parKurumaNo=126188 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
190,,,parKurumaNo=126188 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
191,,,parKurumaNo=116440 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
192,,,parKurumaNo=116440 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
193,,,parKurumaNo=116439 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
194,,,parKurumaNo=116439 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
195,,,parKurumaNo=126188 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
196,,,parKurumaNo=126188 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
197,,,parKurumaNo=116440 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
198,,,parKurumaNo=116440 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
199,,,parKurumaNo=116439 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
200,,,parKurumaNo=116439 ,,,,,parHMCount=100 ,parHinmokuNos=4743/4743/4745/4900/4900/4901/4901/4902/4902/5660/5620/5622/5625/3845/4700/4701/4702/4840/4841/4842/4843/4844/4860/4861/4862/5700/5700/5701/5701/5702/5702/5820/5860/6000/6020/6080/6100/6120/6180/3853/2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270 ,,,parMakerNos=2840/4280/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/1040/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/4280/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/4280/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
201,,,parKurumaNo=126188 ,,,,,parHMCount=50 ,parHinmokuNos=5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020/6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
