月日,時刻,子ユーザ,入力値,parKurumaNo,ParamList,parHinban,parJunsei,parHMCount,KurumaInfo,parType,parMakerNo,parHinmokuNos,parMakerNos,parSyadaiNo,CallHinban,date
2021-11-09,15:18:38,Demo0741,J6100,,"['', '']",['J6100 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:18:38
2021-11-09,15:18:49,Demo0741,J6100,,"['', '']",['J6100 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:18:49
2021-11-09,15:19:15,Demo0741,47201B2010,,"['', '']",['47201-B2010 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:19:15
2021-11-09,15:19:15,Demo0741,47201B2010,,"['', '']",['47201-B2010 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:19:15
2021-11-09,15:20:37,Demo0741,16806-0004,,"['16806', '0004', '', ' ']","['', '']",,,"['134874', '1', 'ﾄﾖﾀ', '153', 'ﾌﾟﾘｳｽ ｱﾙﾌｧ 1800 ﾊｲﾌﾞﾘｯﾄ', '16806', '0001-0008', 'DAA-ZVW41W', '1105', '1411', '2ZRFXE', '1800']",,,"['', '']","['', '']",,,2021-11-09 15:20:37
2021-11-09,15:21:11,Demo0741,1756522040,,"['', '']",['17565-22040 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:21:11
2021-11-09,15:21:22,Demo0741,1756522030,,"['', '']",['17565-22030 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:21:22
2021-11-09,15:21:48,Demo0741,1756522030,,"['', '']",['17565-22030 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:21:48
2021-11-09,15:22:12,Demo0741,4553549015,,"['', '']",['45535-49015 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:22:12
2021-11-09,15:22:26,Demo0741,1745123042,,"['', '']",['17451-23042 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:22:26
2021-11-09,15:20:29,613R1703,5340178A01,,"['', '']",['5340178A01 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:20:29
2021-11-09,15:23:47,613R1703,5340278A01,,"['', '']",['5340278A01 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:23:47
2021-11-09,15:20:54,194020,,134818 ,"['', '']","['', '']",,24 ,"['', '']",,,"['9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840', '9830', '9840 ']","['0010', '0010', '0020', '0020', '0030', '0030', '0040', '0040', '0050', '0050', '0060', '0060', '0070', '0070', '0080', '0080', '0090', '0090', '0100', '0100', '0110', '0110', '0120', '0120 ']",0,,2021-11-09 15:20:54
